Trial,Value,top_n,min_count
0,0.02794552594423294,7,3669471.3866784563
1,0.02703755721449852,7,781613956.6764946
2,0.029167814180254936,4,1260229120.8178017
3,0.027001600712537766,4,41994590.136819586
4,0.02776923030614853,4,42223140.73354554
5,0.02865997515618801,4,30606195.98664108
6,0.02739938534796238,3,8419503941.028833
7,0.027432549744844437,7,3429703.3611626704
8,0.02678646333515644,6,252540930.6455739
9,0.028322648257017136,7,6977501.616299742
10,0.02788202092051506,6,322625.85352040635
11,0.027396975085139275,5,195851627.54586646
12,0.028252534568309784,5,252855923.62346444
