Trial,Value,num_preprocess_layers,num_postprocess_layers,preprocess_size,postprocess_size,num_heads_0,num_heads_1,dropout_rate_0,dropout_rate_1,dropout_rate_2,dropout_rate_3,dropout_rate_4,dropout_rate_5,dropout_rate_6,dropout_rate_7,dropout_rate_8,dropout_rate_9,dropout_rate_10,dropout_rate_11,dropout_rate_12,use_batch_norm_0,use_batch_norm_1,use_batch_norm_2,use_batch_norm_3,use_batch_norm_4,use_batch_norm_5,use_batch_norm_6,use_batch_norm_7,use_batch_norm_8,use_batch_norm_9,use_batch_norm_10,use_batch_norm_11,use_batch_norm_12
0,0.032823048532009125,9,2,64,256,32,30,0.06725594729470916,0.016892087552050208,0.08628232923487088,0.06322775907687307,0.014821303667972087,0.015880826873708776,0.07328246521738734,0.08097611297113519,0.04008752236347085,0.01989877680438258,0.005730334103956814,0.05067852315282395,0.09717816462890898,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0.03252017870545387,9,2,64,128,28,26,0.07754327911709186,0.0024258716326335584,0.06541847168581487,0.016024706883664797,0.027867542130170044,0.0015196975701768922,0.06915853554037898,0.057593530326907484,0.06898538804899783,0.08189533220020269,0.059815783174830196,0.05908914696712386,0.057978258772002224,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0.03346074000000954,9,2,64,64,28,32,0.08421372285068773,0.03225177275177093,0.07602609155125398,0.09612091449951125,0.08908850576007128,0.030322526574067022,0.06021392606439818,0.06610673574445403,0.07834523556039977,0.08179444428332666,0.09130379132710327,0.05603631594164622,0.08240688856446467,True,True,True,True,True,True,True,True,True,True,True,True,True
3,0.03251306340098381,9,2,256,128,20,26,0.06535648031918646,0.09572780901425935,0.07968773530387702,0.02300541165343173,0.018739988643741736,0.010504523297780689,0.0953876464521966,0.0018032999933421112,0.09038459135926663,0.0005838690979190653,0.058363601621834765,0.08401276311481809,0.08509482389975634,True,True,True,True,True,True,True,True,True,True,True,True,True
4,0.03248145058751106,9,2,256,128,24,16,0.022856305515261455,0.06268011572570008,0.02983077590928919,0.06398043528712176,0.042835279328133316,0.05098409268456144,0.01266609210176628,0.08240458678066498,0.008871003909473351,0.0016165326145010318,0.09551381109471255,0.0009649773131194972,0.007114810996823862,True,True,True,True,True,True,True,True,True,True,True,True,True
5,0.032453179359436035,9,2,128,256,22,20,0.09405138646781969,0.038919333898259016,0.09770518084665306,0.054462790257986005,0.09805660251981041,0.011129161445180481,0.053171243613944076,0.07573632571540129,0.07561850563217876,0.07963252931991477,0.07040642717250038,0.08171981674315165,0.036876172223116725,True,True,True,True,True,True,True,True,True,True,True,True,True
6,0.033375754952430725,9,2,64,64,28,28,0.01363896077989838,0.03378338346035167,0.025554914305442433,0.01751096461941244,0.09290233419347291,0.07381556311612592,0.058113739394400045,0.017621346696705977,0.062043343534029766,0.08579438598812494,0.07617455335506913,0.0522732277801571,0.08060920773436693,True,True,True,True,True,True,True,True,True,True,True,True,True
7,0.03213157132267952,9,2,128,256,24,24,0.006133390997890798,0.003776447883402867,0.01082441603487605,0.07353268209655751,0.06344420821011286,0.06626233274406033,0.09223092787087192,0.014146057840894588,0.04877059405484968,0.04908932987308762,0.05142768550750992,0.0003472909403544278,0.030248527653744063,True,True,True,True,True,True,True,True,True,True,True,True,True
8,0.03224083036184311,9,2,256,64,28,28,0.07184404153195056,0.057321827614377374,0.05701169998082478,0.07443803643258064,0.0030293968019791118,0.03969174408291726,0.07517230875099742,0.04771928212463533,0.006780194229859416,0.00879443981308422,0.063631625350123,0.015548535843562439,0.06841084670770854,True,True,True,True,True,True,True,True,True,True,True,True,True
9,0.03404444083571434,9,2,128,128,26,18,0.06956384863961708,0.08484171276535739,0.006642787148734253,0.09224227428928529,0.022782411436884788,0.03439062185901311,0.0944186814724389,0.02546606330168191,0.05608985582885123,0.09678126384548717,0.08850579369536993,0.07108069304566693,0.090768982571327,True,True,True,True,True,True,True,True,True,True,True,True,True
10,0.03194718807935715,9,2,128,256,16,22,0.0039035550926888518,0.00240487415651283,0.0012106367174212866,0.0383160383645936,0.0646306124123344,0.09383948099968016,0.028366472092058226,0.09836443266493115,0.038365499057775906,0.04816055259250703,0.037387465442505985,0.03157364786651819,0.03793845634664203,True,True,True,True,True,True,True,True,True,True,True,True,True
11,0.03218063339591026,9,2,128,256,16,22,0.0018716111671400332,0.0012379582923142721,0.005774222405105833,0.040933805744080946,0.06361209931681816,0.09987673933581732,0.031762020001284405,0.09713349163579882,0.03920999115550676,0.04916007127029862,0.0359166167184493,0.02877045454238697,0.03918074329715833,True,True,True,True,True,True,True,True,True,True,True,True,True
12,0.03249076008796692,9,2,128,256,16,22,0.036511575572246525,0.017714245755693192,0.0008718299188376888,0.0372008593404178,0.06541907789414322,0.08355180630205035,0.03430430695211313,0.03638289193211544,0.04019489498197282,0.04713001776688591,0.03998981838076468,0.029969250707130045,0.024585189762302534,True,True,True,True,True,True,True,True,True,True,True,True,True
13,0.03192508593201637,9,2,128,256,20,24,0.0010921974029661332,0.013561203701416058,0.02505731214440179,0.0004068058844660799,0.06722536147586633,0.06898749033357976,0.03867168564696236,0.04661798459248211,0.02817812936482141,0.03594449321598804,0.04164655723865967,0.0015945034572569464,0.01977347464243441,True,True,True,True,True,True,True,True,True,True,True,True,True
14,0.032327692955732346,9,2,128,256,18,22,0.02474372682079735,0.017956005808762065,0.03626094507220334,0.0002451331849161603,0.07699969452033625,0.09770959786013024,0.0002355765783363245,0.047817828703368016,0.022478191667063344,0.03328891450156398,0.029951025950753236,0.03403050324732919,0.013095625045819008,True,True,True,True,True,True,True,True,True,True,True,True,True
15,0.03230856731534004,9,2,128,256,20,20,0.043506077957234844,0.015051307486224996,0.020022265917252938,0.005318594685055134,0.048654581162715586,0.08335486186387692,0.03736097417102644,0.09197567732480552,0.025916895908964545,0.030973340397297516,0.017449225020014163,0.014446638527781854,0.05012910118104322,True,True,True,True,True,True,True,True,True,True,True,True,True
